user_id,timestamp,rmssd_bbi,rmssd_count,rmssd_baseline,rmssd_ratio,hrv_class
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-04 18:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-04 21:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-05 09:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-05 12:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-05 15:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-05 18:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-05 21:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-06 09:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-06 12:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-06 15:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-06 18:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-06 21:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-07 09:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-07 12:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-07 15:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-07 18:00:00,,0,,,
063b3c65-f0c3-4f22-ae34-47fe53ba8dbc,2026-06-07 21:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-01 09:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-01 12:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-01 15:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-01 18:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-01 21:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-02 09:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-02 12:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-02 15:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-02 18:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-02 21:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-03 09:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-03 12:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-03 15:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-03 18:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-03 21:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-04 09:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-04 12:00:00,,0,,,
0a1e7484-9c88-4314-9955-9c026b289b0f,2026-06-04 15:00:00,,0,,,
